Campaign,Ad group,Keyword,Criterion Type,Max CPC
Leads Body shop insuranse,Insurance Approved Body Shop,[state farm approved body shop],Exact match,12.00
Leads Body shop insuranse,Insurance Approved Body Shop,[usaa approved body shop],Exact match,7.00
Leads Body shop insuranse,Insurance Approved Body Shop,[progressive approved body shop],Exact match,14.00
Leads Body shop insuranse,Insurance Approved Body Shop,[state farm approved auto body shop],Exact match,8.00
Leads Body shop insuranse,Insurance Approved Body Shop,[progressive auto body shop],Exact match,16.00
Leads Body shop insuranse,Insurance Approved Body Shop,"state farm insurance body shop",Phrase match,3.00
Leads Body shop insuranse,Insurance Approved Body Shop,"usaa approved auto body shop",Phrase match,10.00
Leads Body shop insuranse,Insurance Approved Body Shop,"nationwide approved body shop",Phrase match,5.00
Leads Body shop insuranse,Insurance Approved Body Shop,"progressive auto body",Phrase match,5.00
Leads Body shop insuranse,Collision Repair Insurance,"collision repair insurance orlando",Phrase match,10.00
Leads Body shop insuranse,Collision Repair Insurance,"insurance approved collision repair",Phrase match,8.00
Leads Body shop insuranse,Collision Repair Insurance,"auto body insurance claim",Phrase match,8.00
Leads Body shop insuranse,Collision Repair Insurance,"collision repair insurance claim",Phrase match,8.00
Leads Body shop insuranse,Collision Repair Insurance,"insurance claim body shop",Phrase match,6.00
Leads Body shop insuranse,Collision Repair Insurance,"body shop insurance claim help",Phrase match,6.00
Leads Body shop insuranse,Collision Repair Insurance,"geico collision repair orlando",Phrase match,10.00
Leads Body shop insuranse,Collision Repair Insurance,"progressive collision repair orlando",Phrase match,10.00
Leads Body shop insuranse,Collision Repair Insurance,"state farm collision repair orlando",Phrase match,8.00
Leads Body shop insuranse,Collision Repair Insurance,"allstate collision repair orlando",Phrase match,10.00
Leads Body shop insuranse,Collision Repair Insurance,"usaa collision repair orlando",Phrase match,8.00
